FTC,TFV,eps
0.001129955198424,2.16119E-01,0.279164847455932
0.001129955198424,2.44205E-01,0.252939092581776
0.001129955198424,2.75941E-01,0.228141409747074
0.001129955198424,3.11801E-01,0.204848513862104
0.001129955198424,3.52321E-01,0.183108627099339
0.001129955198424,3.98107E-01,0.162943474981598
0.001129955198424,4.49843E-01,0.144350922320012
0.001129955198424,5.08303E-01,0.127308005249409
0.001129955198424,5.74359E-01,0.111774139351464
0.001129955198424,6.49000E-01,0.097694320981045
0.001129955198424,7.33341E-01,0.085002182527261
0.001129955198424,8.28643E-01,0.073622806549127
0.001129955198424,9.36329E-01,0.063475244067554
0.001129955198424,1.05801E+00,0.054474715865583
0.001129955198424,1.19550E+00,0.046534500982952
0.001129955198424,1.35087E+00,0.039567533435082
0.001129955198424,1.52642E+00,0.033487737221527
0.001129955198424,1.72478E+00,0.028211132255775
0.001129955198424,1.94893E+00,0.023656741683021
0.001129955198424,2.20220E+00,0.019747326035012
0.001129955198424,2.48839E+00,0.016409963589752
0.001129955198424,2.81177E+00,0.013576490650144
0.001129955198424,3.17717E+00,0.011183811271969
0.001129955198424,3.59006E+00,0.009174083775288
0.001129955198424,4.05661E+00,0.007494791172959
0.001129955198424,4.58379E+00,0.006098704044623
0.001129955198424,5.17947E+00,0.004943746723564
0.001129955198424,5.85257E+00,0.003992780224548
0.001129955198424,6.61315E+00,0.003213317486063
0.001129955198424,7.47256E+00,0.002577187784498
0.001129955198424,8.44366E+00,0.002060167390418
0.001129955198424,9.54095E+00,0.001641592688666
0.001129955198424,1.07809E+01,0.001303970252483
0.001129955198424,1.21819E+01,0.001032596021571
0.001129955198424,1.37650E+01,0.000815193086616
0.001129955198424,1.55538E+01,0.000641574904
0.001129955198424,1.75751E+01,0.000503338270686
0.001129955198424,1.98591E+01,0.000393588225145
0.001129955198424,2.24399E+01,0.000306695280525
0.001129955198424,2.53561E+01,0.000238084057963
0.001129955198424,2.86512E+01,0.000184051446215
0.001129955198424,3.23746E+01,0.000141611817898
0.001129955198424,3.65818E+01,0.000108366519805
0.001129955198424,4.13358E+01,8.23947604607007E-05
